DESCRIPTION,RATING,REVIEWS COUNT,LINK,6/2/2021,7/2/2021,8/2/2021,9/2/2021,10/2/2021,11/2/2021,12/2/2021,13/2/2021,14/2/2021,15/2/2021,16/2/2021,17/2/2021,18/2/2021,19/2/2021,20/2/2021,21/2/2021,22/2/2021,23/2/2021,24/2/2021,25/2/2021,26/2/2021,2021-03-01
Samsung Galaxy),3.8 out of 5 stars,137,https://www.amazon.in/Samsung-Phantom-Storage-Additional-Exchange/dp/B08LRDTN6H/ref=sr_1_66?dchild=1&keywords=Samsung+Mobiles&qid=1612346899&sr=8-66,"1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00"
),4.0 out of 5 stars,763,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07S9G6237/ref=sr_1_84?dchild=1&keywords=Samsung+Mobiles&qid=1612346902&sr=8-84,"19,900.00","19,900.00","19,900.00","19,900.00","19,900.00","19,900.00","19,900.00","19,900.00","19,900.00","19,900.00","19,900.00","19,900.00","21,990.00","21,849.00","21,990.00","21,825.00","21,990.00","21,990.00","21,670.00","21,640.00","21,640.00","21,870.00"
),4.1 out of 5 stars,"1,372",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07X9YN2FJ/ref=sr_1_85?dchild=1&keywords=Samsung+Mobiles&qid=1612346902&sr=8-85,"36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00","36,999.00"
Samsung Galaxy),4.0 out of 5 stars,16,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MS6KLN/ref=sr_1_97?dchild=1&keywords=Samsung+Mobiles&qid=1612346904&sr=8-97,"97,999.00","97,999.00","97,999.00","97,999.00","97,999.00","97,999.00","97,999.00","97,999.00","84,994.00","97,999.00","97,999.00","97,999.00","97,999.00","97,999.00","97,999.00","97,999.00","97,999.00","97,999.00","97,999.00","97,999.00","97,999.00","97,999.00"
),4.0 out of 5 stars,"3,044",https://www.amazon.in/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_1?dchild=1&keywords=Oppo+Mobiles&qid=1612346908&sr=8-1,"11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00"
),4.0 out of 5 stars,"3,044",https://www.amazon.in/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_2?dchild=1&keywords=Oppo+Mobiles&qid=1612346908&sr=8-2,"11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00","11,990.00"
),3.7 out of 5 stars,893,https://www.amazon.in/Dynamic-Orange-Storage-Additional-Exchange/dp/B086KFV4L4/ref=sr_1_7?dchild=1&keywords=Oppo+Mobiles&qid=1612346908&sr=8-7,"16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00"
),4.3 out of 5 stars,10,https://www.amazon.in/Oppo-Reno2-Green-256GB-Storage/dp/B08RXCHBRF/ref=sr_1_11?dchild=1&keywords=Oppo+Mobiles&qid=1612346908&sr=8-11,"19,578.00","19,450.00","19,794.99","19,794.99","19,748.00","19,699.99","19,699.99","19,490.00","19,390.00","19,740.00","19,680.00","19,680.00","19,599.00","19,380.00","19,210.00",unavailable,"19,980.00","19,980.00","19,898.00",unavailable,unavailable,"19,989.00"
),4.0 out of 5 stars,826,https://www.amazon.in/Oppo-Storage-Additional-Exchange-Offers/dp/B089MS6R6V/ref=sr_1_19?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-19,"12,989.00","12,989.00","12,989.00","12,989.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00"
),3.7 out of 5 stars,6,https://www.amazon.in/Oppo-A5s-Blue-64GB-Storage/dp/B07Y24S2WY/ref=sr_1_24?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-24,"10,789.00","10,999.00","10,999.00","10,999.00","10,750.00","10,740.00","10,740.00","10,739.00","10,739.00","10,698.00","10,698.00","10,698.00","10,698.00","10,695.00","10,695.00","10,695.00","10,689.00","10,689.00","10,688.00","10,688.00","10,685.00","10,680.00"
),3.7 out of 5 stars,893,https://www.amazon.in/128GB-Storage-Additional-Exchange-Offers/dp/B086KDJ6NP/ref=sr_1_25?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-25,"16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00"
),4.0 out of 5 stars,826,https://www.amazon.in/Oppo-Electric-Storage-Additional-Exchange/dp/B089MTMLDF/ref=sr_1_27?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-27,"12,989.00","12,989.00","12,989.00","12,989.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00","12,990.00"
),4.0 out of 5 stars,826,https://www.amazon.in/Oppo-Electric-Storage-Additional-Exchange/dp/B089MTKP2J/ref=sr_1_31?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-31,"15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00"
Oppo F17 (Classic),3.7 out of 5 stars,893,https://www.amazon.in/Classic-Silver-Storage-Additional-Exchange/dp/B086KDZGT8/ref=sr_1_32?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-32,"16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00","16,990.00"
),3.7 out of 5 stars,893,https://www.amazon.in/Dynamic-Orange-Storage-Additional-Exchange/dp/B086KGHVK4/ref=sr_1_33?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-33,"18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00"
),3.7 out of 5 stars,893,https://www.amazon.in/128GB-Storage-Additional-Exchange-Offers/dp/B086K9XS34/ref=sr_1_34?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-34,"18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00","18,490.00"
),4.0 out of 5 stars,826,https://www.amazon.in/Oppo-Storage-Additional-Exchange-Offers/dp/B089MS4ZG9/ref=sr_1_37?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-37,"15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00","15,490.00"
),4.3 out of 5 stars,4,https://www.amazon.in/Oppo-mobile-Phone-32GB-Storage/dp/B07ZP8W2LF/ref=sr_1_40?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-40,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
),4.0 out of 5 stars,672,https://www.amazon.in/Midnight-Storage-Additional-Exchange-Offers/dp/B084457WQB/ref=sr_1_43?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-43,"27,990.00","27,990.00","27,990.00","27,990.00","27,990.00","27,990.00","27,990.00","27,990.00","27,990.00","27,990.00","27,990.00","27,990.00","24,990.00","24,990.00","27,990.00","27,990.00","27,990.00","27,990.00","27,990.00","27,990.00","27,990.00","27,990.00"
Oppo Reno2 F ),4.3 out of 5 stars,10,https://www.amazon.in/Oppo-Reno2-White-256GB-Storage/dp/B08RXC85Y3/ref=sr_1_48?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-48,"19,990.00","19,450.00","19,794.99","19,794.99","19,748.00","19,699.99","19,699.99","19,990.00","19,990.00","19,990.00","19,680.00","19,680.00","19,990.00","19,380.00","19,980.00",unavailable,"19,980.00","19,980.00","19,898.00",unavailable,unavailable,"19,989.00"
Oppo Reno4 Pro ),4.3 out of 5 stars,408,https://www.amazon.in/Reno4-Storage-Additional-Exchange-Offers/dp/B089MS7L7P/ref=sr_1_58?dchild=1&keywords=Oppo+Mobiles&qid=1612346916&sr=8-58,"34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00","34,990.00"
),4.2 out of 5 stars,39,https://www.amazon.in/Oppo-Realme-Storage-Crystal-Green/dp/B07Y1N7J3D/ref=sr_1_62?dchild=1&keywords=Oppo+Mobiles&qid=1612346916&sr=8-62,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
),4.2 out of 5 stars,444,https://www.amazon.in/Oppo-F5-64GB-Storage-Offers/dp/B078CBN95Q/ref=sr_1_99?dchild=1&keywords=Oppo+Mobiles&qid=1612346927&sr=8-99,"16,990.00","16,990.00","16,990.00","16,990.00","16,780.00","16,780.00","16,780.00","16,780.00","16,780.00",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
),4.1 out of 5 stars,"13,989",https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B08696XB4B/ref=sr_1_1?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-1,"6,999.00","6,999.00","6,999.00","6,999.00","6,999.00","6,799.00","6,799.00","6,799.00","6,799.00","6,999.00","6,999.00","6,999.00","6,999.00","6,999.00","6,999.00","6,999.00","6,799.00","6,799.00","6,799.00","6,799.00","6,799.00","6,999.00"
Redmi 9 ),4.0 out of 5 stars,"11,462",https://www.amazon.in/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_2?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-2,"8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,799.00","8,799.00","8,799.00","8,799.00","8,799.00","8,999.00"
Redmi 9A ),4.1 out of 5 stars,"13,989",https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B086978F2L/ref=sr_1_3?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-3,"6,999.00","6,999.00","6,999.00","6,999.00","6,999.00","6,799.00","6,799.00","6,799.00","6,799.00","6,999.00","6,999.00","6,999.00","6,999.00","6,999.00","6,999.00","6,999.00","6,799.00","6,799.00","6,799.00","6,799.00","6,799.00","6,999.00"
),4.2 out of 5 stars,"14,642",https://www.amazon.in/Redmi-Prime-Storage-Display-Camera/dp/B08697MJDK/ref=sr_1_4?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-4,"9,999.00","9,499.00","9,499.00","9,499.00","9,499.00","9,499.00","9,499.00","9,999.00","9,999.00","9,999.00","9,999.00","9,999.00","9,499.00","9,499.00","9,499.00","9,499.00","9,499.00","9,499.00","9,499.00","9,499.00","9,499.00","9,499.00"
Redmi 8A Dual ),4.1 out of 5 stars,"35,567",https://www.amazon.in/Redmi-8A-Dual-White-Storage/dp/B086977J48/ref=sr_1_5?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-5,"8,299.00","7,499.00","7,999.00","7,999.00","8,299.00","7,999.00","7,999.00","7,999.00","7,999.00","7,999.00","8,299.00","8,299.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,499.00","9,299.00"
),4.2 out of 5 stars,"27,262",https://www.amazon.in/Redmi-Note-Pebble-Grey-Storage/dp/B086977TR6/ref=sr_1_6?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-6,"11,999.00","13,999.00","13,999.00","13,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,499.00","11,499.00","11,499.00","11,499.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00"
),4.2 out of 5 stars,"33,679",https://www.amazon.in/Redmi-Note-Pro-Interstellar-Snapdragon/dp/B077PWBC78/ref=sr_1_7?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-7,"12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","11,999.00","11,999.00","11,999.00","11,999.00","12,999.00","12,999.00"
),4.2 out of 5 stars,"14,642",https://www.amazon.in/Redmi-Prime-Storage-Display-Camera/dp/B08699CZBC/ref=sr_1_8?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-8,"10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00"
Redmi 8A Dual ),4.1 out of 5 stars,"35,567",https://www.amazon.in/Redmi-8A-Dual-White-Storage/dp/B07X1KSWZ3/ref=sr_1_11?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-11,"7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00",unavailable,unavailable,"8,999.00","8,999.00","8,756.00","7,499.00"
Redmi 8A Dual ),4.1 out of 5 stars,"35,567",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B08698559Z/ref=sr_1_12?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-12,"8,299.00","7,499.00","7,499.00","7,499.00","7,999.00","7,999.00","7,999.00","7,999.00","7,999.00","7,999.00","7,999.00","7,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,756.00","8,790.00"
),4.2 out of 5 stars,"27,262",https://www.amazon.in/Redmi-Note-Aqua-Green-Storage/dp/B08695YMYC/ref=sr_1_13?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-13,"11,999.00","12,999.00","12,999.00","12,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,499.00","11,499.00","11,499.00","11,499.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00"
),4.1 out of 5 stars,"13,989",https://www.amazon.in/Redmi-9A-Midnight-2GB-32GB/dp/B08697N43G/ref=sr_1_14?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-14,"6,999.00","6,999.00","6,999.00","6,999.00","6,999.00","6,799.00","6,799.00","6,799.00","6,799.00","6,999.00","6,999.00","6,999.00","6,999.00","6,999.00","6,999.00","6,999.00","6,799.00","6,799.00","6,799.00","6,799.00","6,799.00","6,999.00"
),4.1 out of 5 stars,"13,989",https://www.amazon.in/Redmi-9A-3GB-32GB-Storage/dp/B08697N43M/ref=sr_1_15?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-15,"7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00"
),4.0 out of 5 stars,"11,462",https://www.amazon.in/Redmi-Carbon-Black-64GB-Storage/dp/B086985T6R/ref=sr_1_16?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-16,"8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,799.00","8,799.00","8,799.00","8,799.00","8,799.00","8,999.00"
),4.2 out of 5 stars,"33,679",https://www.amazon.in/Test-Exclusive-550/dp/B077Q7GW9V/ref=sr_1_17?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-17,"12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","11,999.00","11,999.00","11,999.00","11,999.00","12,999.00","12,999.00"
),4.2 out of 5 stars,"27,262",https://www.amazon.in/Redmi-Note-Pebble-128GB-Storage/dp/B08697KLYV/ref=sr_1_18?dchild=1&keywords=Redmi+Mobiles&qid=1612346930&sr=8-18,"13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","11,499.00","11,499.00","13,999.00","11,499.00","13,999.00","13,999.00","10,999.00","13,999.00","10,999.00","13,999.00"
),4.1 out of 5 stars,"30,457",https://www.amazon.in/Test-Exclusive-558/dp/B077PWJRFH/ref=sr_1_20?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-20,"14,999.00","14,999.00","14,999.00","14,999.00","14,999.00",unavailable,unavailable,"15,699.00","15,649.00","15,699.00","14,999.00","14,999.00","14,999.00","14,990.00",unavailable,unavailable,unavailable,unavailable,"14,990.00","14,990.00",unavailable,"14,999.00"
Redmi 9 ),4.0 out of 5 stars,"11,462",https://www.amazon.in/Redmi-Sporty-Orange-64GB-Storage/dp/B08696W3B3/ref=sr_1_22?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-22,"8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,999.00","8,799.00","8,799.00","8,799.00","8,799.00","8,799.00","8,999.00"
Redmi 8A Dual ),4.1 out of 5 stars,"35,567",https://www.amazon.in/Redmi-8A-Dual-White-Storage/dp/B07X3P1N3H/ref=sr_1_23?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-23,"8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,299.00","8,999.00","8,999.00","8,756.00","7,999.00"
Redmi 9 Prime ),4.2 out of 5 stars,"14,642",https://www.amazon.in/Redmi-Prime-Sunrise-Storage-Display/dp/B086984LJ3/ref=sr_1_24?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-24,"10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00"
),4.1 out of 5 stars,"63,030",https://www.amazon.in/Redmi-Black-3GB-32GB-Storage/dp/B01NAKU5HE/ref=sr_1_25?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-25,"9,499.00","8,790.00","8,790.00","8,790.00","8,790.00","9,009.00","9,009.00","9,499.00","9,499.00","9,499.00","9,499.00","9,499.00","9,499.00","9,499.00","9,490.00","9,490.00","9,499.00","9,499.00","9,490.00","9,499.00","9,499.00","9,499.00"
),4.1 out of 5 stars,"30,457",https://www.amazon.in/Test-Exclusive-602/dp/B07HGLC2CG/ref=sr_1_26?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-26,"17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00"
),3.8 out of 5 stars,"3,533",https://www.amazon.in/Test-Exclusive_2020_1112-Multi-3GB-Storage/dp/B089MS7D8F/ref=sr_1_29?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-29,"10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,499.00","10,499.00","10,499.00","10,499.00","10,499.00","10,999.00"
),3.8 out of 5 stars,"3,533",https://www.amazon.in/Test-Exclusive_2020_1113-Multi-3GB-Storage/dp/B089MS8XQ3/ref=sr_1_30?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-30,"10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,499.00","10,499.00","10,499.00","10,499.00","10,499.00","10,999.00"
),4.1 out of 5 stars,"30,457",https://www.amazon.in/Test-Exclusive-557/dp/B077PWJ8RS/ref=sr_1_32?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-32,"14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00"
),4.2 out of 5 stars,"27,262",https://www.amazon.in/Redmi-Note-Arctic-White-Storage/dp/B08696W399/ref=sr_1_35?dchild=1&keywords=Redmi+Mobiles&qid=1612346937&sr=8-35,"13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00"
),4.2 out of 5 stars,"33,679",https://www.amazon.in/Test-Exclusive-551/dp/B0784D862L/ref=sr_1_36?dchild=1&keywords=Redmi+Mobiles&qid=1612346937&sr=8-36,"12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","11,999.00","11,999.00","11,999.00","11,999.00","12,999.00","12,999.00"
),4.2 out of 5 stars,"33,679",https://www.amazon.in/Redmi-Note-Pro-Champagne-Storage/dp/B08696XB45/ref=sr_1_37?dchild=1&keywords=Redmi+Mobiles&qid=1612346937&sr=8-37,"12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","11,999.00","11,999.00","11,999.00","11,999.00","12,999.00","12,999.00"
),3.8 out of 5 stars,"3,533",https://www.amazon.in/Test-Exclusive_2020_1111-Multi-3GB-Storage/dp/B089MS8HPF/ref=sr_1_38?dchild=1&keywords=Redmi+Mobiles&qid=1612346937&sr=8-38,"10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,999.00","10,499.00","10,499.00","10,499.00","10,499.00","10,499.00","10,999.00"
),4.3 out of 5 stars,"95,964",https://www.amazon.in/Redmi-Note-Pro-Electric-Processor/dp/B07X4R4F47/ref=sr_1_51?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-51,"16,990.00",unavailable,"15,999.00","15,999.00",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"17,980.00","17,980.00","17,999.00"
),4.2 out of 5 stars,"27,262",https://www.amazon.in/Redmi-Note-Green-128GB-Storage/dp/B08696ZMPF/ref=sr_1_52?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-52,"12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00"
),3.8 out of 5 stars,"3,535",https://www.amazon.in/Test-Exclusive_2020_1118-Multi-3GB-Storage/dp/B089MTT7TX/ref=sr_1_53?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-53,"11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00",unavailable,unavailable,unavailable,"10,999.00",unavailable,"10,999.00",unavailable,"11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00"
),4.1 out of 5 stars,"11,150",https://www.amazon.in/Redmi-Black-3GB-64GB-Storage/dp/B07R9RSB2T/ref=sr_1_54?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-54,"9,490.00",unavailable,unavailable,unavailable,"9,490.00","8,499.00","8,499.00","8,499.00",unavailable,"8,890.00","8,890.00","8,890.00",unavailable,"8,500.00",unavailable,unavailable,unavailable,unavailable,"8,299.00","8,299.00",unavailable,unavailable
),3.8 out of 5 stars,"3,535",https://www.amazon.in/Test-Exclusive_2020_1116-Multi-3GB-Storage/dp/B089MVCS5G/ref=sr_1_57?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-57,"11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00",unavailable,unavailable,"10,999.00","11,999.00","10,999.00",unavailable,"11,999.00","11,999.00","11,999.00","11,999.00","11,999.00","11,999.00"
