DESCRIPTION,RATING,REVIEWS COUNT,IMAGE,LINK,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07
"Samsung Galaxy M31 (Iceberg Blue, 6GB RAM, 128GB)",4.2 out of 5 stars,132946,https://images-na.ssl-images-amazon.com/images/I/71ZsMOcpePL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Iceberg-128GB-Storage/dp/B085HZYM54/ref=sr_1_33?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-33,16499,unavailable,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499
"Samsung Galaxy M51 (Celestial Black, 6GB RAM, 128GB)",4.4 out of 5 stars,31750,https://images-na.ssl-images-amazon.com/images/I/713AhSUtbHL._SY879_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A00188942WWDH4CGH81YR&url=%2FSamsung-Galaxy-Celestial-Black-Storage%2Fdp%2FB085J1X78K%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346893%26sr%3D8-33-spons%26psc%3D1&qualifier=1612346893&id=2620530726061484&widgetName=sp_atf_next,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999
"Samsung Galaxy Note10 Lite (Aura Glow, 6GB RAM, 128GB)",4.0 out of 5 stars,1388,https://images-na.ssl-images-amazon.com/images/I/71T0KJFxCHL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07X8V5YKR/ref=sr_1_34?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-34,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999
"Samsung Galaxy A21s (Black, 6GB, 128GB)",3.6 out of 5 stars,1356,https://images-na.ssl-images-amazon.com/images/I/81zb1bxd6NL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B084453J63/ref=sr_1_35?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-35,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499
"Samsung Galaxy A21s (Black, 6GB RAM, 64GB)",3.6 out of 5 stars,1356,https://images-na.ssl-images-amazon.com/images/I/81zb1bxd6NL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCKKW/ref=sr_1_36?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-36,16498,16498,16498,16498,16498,16498,16498,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,unavailable,unavailable,14999,14999,14999,14999,14999
"Samsung Galaxy A71 (Prism Crush Black, 8GB RAM, 128GB)",4.2 out of 5 stars,704,https://images-na.ssl-images-amazon.com/images/I/71Wh8ZPcGBL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07XBYLRVB/ref=sr_1_37?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-37,27499,unavailable,unavailable,unavailable,27499,29499,29499,unavailable,unavailable,unavailable,28999,28999,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB)",4.0 out of 5 stars,1059,https://images-na.ssl-images-amazon.com/images/I/81liHd1KM-L._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCDGV7/ref=sr_1_38?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-38,17999,17999,17999,17999,17999,17999,17999,unavailable,unavailable,unavailable,17999,17999,17300,17300,17999,16925,17300,17300,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999
"Samsung Galaxy J2 2018 (Gold, 2GB RAM, 16GB)",4.1 out of 5 stars,831,https://images-na.ssl-images-amazon.com/images/I/61n4Z1Qmp2L._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-2018-Storage-Offers/dp/B07C7B89CV/ref=sr_1_39?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-39,7490,7490,7490,7490,7990,7990,7990,7990,7990,7990,7990,7990,7990,8190,8190,8190,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200
"Samsung Galaxy A51 (Blue, 8GB RAM, 128GB)",4.0 out of 5 stars,505,https://images-na.ssl-images-amazon.com/images/I/815-Kg258tL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07XD2HY8Y/ref=sr_1_40?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-40,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22999
"Samsung Galaxy A51 (Haze Crush Silver, 6GB RAM, 128GB)",4.1 out of 5 stars,2341,https://images-na.ssl-images-amazon.com/images/I/815-Kg258tL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ7C7W/ref=sr_1_41?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-41,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,unavailable,unavailable,unavailable,unavailable,unavailable,20999,20999,20999,20999,20999,20999,unavailable,unavailable,20999,unavailable,20999
"Samsung Galaxy A21s (Blue, 6GB RAM, 64GB)",3.6 out of 5 stars,1356,https://images-na.ssl-images-amazon.com/images/I/811RH5e-snL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KGPM5G/ref=sr_1_42?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-42,16498,16498,16498,16498,16498,16498,16498,14999,14999,14999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,14999,14999,13999,13999,13999,13999,13999
"Samsung Galaxy A70s (White, 8GB RAM, 128GB)",4.0 out of 5 stars,768,https://images-na.ssl-images-amazon.com/images/I/71W%2BOhxA8IL._SX679_.jpg,https://www.amazon.in/Test-Dummy_March_2019_46-Black-with-Offer/dp/B07PRBKG12/ref=sr_1_43?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-43,22980,22900,22800,22800,22380,22320,22320,22200,22130,21920,21850,21850,21849,21849,21825,21825,21700,21700,21670,21640,21640,21670,21670,21870,21870,21999,22999,22999,22999,22999
