DESCRIPTION,RATING,REVIEWS COUNT,IMAGE,LINK,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30
"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB)",4.4 out of 5 stars,50394,https://images-na.ssl-images-amazon.com/images/I/713AhSUtbHL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1CPCW/ref=sr_1_28?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-28,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999
"Samsung Galaxy A31 (Prism Crush Black, 6GB RAM, 128GB)",4.1 out of 5 stars,1588,https://images-na.ssl-images-amazon.com/images/I/81erkgYf1tL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KFXPFD/ref=sr_1_30?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-30,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,unavailable,unavailable,17999,17999,17999,17999,17999,17340,17340,17325,17325,17525,17325,17999,17540,17699,17699,17699,17590,17598,17598,17589,17589,17589,17589,17990,17990,17990,17950,17590,17999,17440,17367.5,17270,17450,17225,16999,16999,17200,16990,17099,17099,17200,17140,17140,16998,16998,16790,16790,16790,16790,16785,16700,16785,16885,17190,17498,17498,17489,17489,17450
"Samsung Galaxy M21 (Iceberg Blue, 4GB RAM, 64GB)",4.2 out of 5 stars,124552,https://images-na.ssl-images-amazon.com/images/I/71QLvGIAq5L._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Iceberg-Blue-Storage/dp/B085J1JRC7/ref=sr_1_31?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-31,13999,13999,13999,13999,13999,13999,13999,13999,13999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,13999,13999,12999,12999,12999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,15999,15999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499
"Samsung Galaxy A21s (White, 4GB RAM, 64GB)",3.9 out of 5 stars,2327,https://images-na.ssl-images-amazon.com/images/I/81-5NsP8laL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KD6WBF/ref=sr_1_32?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-32,14999,14999,14999,14999,14999,14999,14999,13999,13999,13999,13999,13999,12999,13999,13999,13999,13999,13999,13999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,13999,13999,13999,13999,13999,13999,13999,unavailable,unavailable,13999,13999,unavailable,13999,12999,12999,12999,13999,13999,13999,13999,13999,unavailable,unavailable,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,12999,12999,15444,15444,15444,13999,13999,16499,15799,15799,15799,15799,15299,13999,unavailable,13999,13999,13999,13999,13999,15499,15499,15499,15490
"Samsung Galaxy M31 (Iceberg Blue, 6GB RAM, 128GB)",4.3 out of 5 stars,174392,https://images-na.ssl-images-amazon.com/images/I/71ZsMOcpePL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Iceberg-128GB-Storage/dp/B085HZYM54/ref=sr_1_33?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-33,16499,unavailable,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499
"Samsung Galaxy M51 (Celestial Black, 6GB RAM, 128GB)",4.4 out of 5 stars,50394,https://images-na.ssl-images-amazon.com/images/I/713AhSUtbHL._SY879_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A00188942WWDH4CGH81YR&url=%2FSamsung-Galaxy-Celestial-Black-Storage%2Fdp%2FB085J1X78K%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346893%26sr%3D8-33-spons%26psc%3D1&qualifier=1612346893&id=2620530726061484&widgetName=sp_atf_next,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999
"Samsung Galaxy Note10 Lite (Aura Glow, 6GB RAM, 128GB)",4.1 out of 5 stars,2431,https://images-na.ssl-images-amazon.com/images/I/71T0KJFxCHL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07X8V5YKR/ref=sr_1_34?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-34,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,31999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,29999,27999,27999,29999,29999,27999,27999,27999,29999,29999,27999,29999,29999,29999,27999,29999,27999,27999,27999,27999,27999,27999,27999,27999,27999,27999,27999,27999,29999,27999,27999,27999,27999,27999,27999,29999,27999,29999,27999,27999,27999
"Samsung Galaxy A21s (Black, 6GB, 128GB)",3.9 out of 5 stars,2327,https://images-na.ssl-images-amazon.com/images/I/81zb1bxd6NL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B084453J63/ref=sr_1_35?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-35,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,16499,16499,16499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499
"Samsung Galaxy A21s (Black, 6GB RAM, 64GB)",3.9 out of 5 stars,2327,https://images-na.ssl-images-amazon.com/images/I/81zb1bxd6NL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCKKW/ref=sr_1_36?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-36,16498,16498,16498,16498,16498,16498,16498,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,unavailable,unavailable,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,unavailable,unavailable,13999,13999,14999,14999,14999,14999,13999,13999,13999,13999,13999,13999,13999,13999,13999,14999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,17499,13999,13999,13999,13999,13999,17499,17499,17499,17499,17499,13999,13999,13999,14999,14999,13999,13999,13999
"Samsung Galaxy A71 (Prism Crush Black, 8GB RAM, 128GB)",4.3 out of 5 stars,995,https://images-na.ssl-images-amazon.com/images/I/71Wh8ZPcGBL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07XBYLRVB/ref=sr_1_37?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-37,27499,unavailable,unavailable,unavailable,27499,29499,29499,unavailable,unavailable,unavailable,28999,28999,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,28400,unavailable,unavailable,27499,27499,28400,28400,27499,27499,29999,29999,28999,27499,27499,30990,27499,27499,27499,27499,28990,27499,29990,27499,29990,29990,29990,29990,28990,29790,29790,29790,31999,27499,31999,31999,27499,31999,31999,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB)",4.1 out of 5 stars,1588,https://images-na.ssl-images-amazon.com/images/I/81liHd1KM-L._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCDGV7/ref=sr_1_38?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-38,17999,17999,17999,17999,17999,17999,17999,unavailable,unavailable,unavailable,17999,17999,17300,17300,17999,16925,17300,17300,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17190,17190,17190,17190,17965,17999,17999,17999,17790,17790,17987.5,17983.5,17943.5,17943.5,17900,17900,17874,17874,17790,17790,17790,17999,17480,17999,17480,17400,17400,17370,17999,16999,17097,17097,17089,17080,16997,16900,17070,16900,16900,16900,16899,16899,16899,16899,16879,16799,16790,16799,16799,16799,16799,16799,16799,16898
"Samsung Galaxy J2 2018 (Gold, 2GB RAM, 16GB)",4.1 out of 5 stars,929,https://images-na.ssl-images-amazon.com/images/I/61n4Z1Qmp2L._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-2018-Storage-Offers/dp/B07C7B89CV/ref=sr_1_39?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-39,7490,7490,7490,7490,7990,7990,7990,7990,7990,7990,7990,7990,7990,8190,8190,8190,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,unavailable,unavailable,8200,8200,unavailable,unavailable,8200,8200,unavailable,unavailable,8200,8200,unavailable,8200,8200,unavailable,unavailable,unavailable,8150,8065,8049,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy A51 (Blue, 8GB RAM, 128GB)",4.1 out of 5 stars,781,https://images-na.ssl-images-amazon.com/images/I/815-Kg258tL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07XD2HY8Y/ref=sr_1_40?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-40,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22999,22499,22499,22499,22499,22499,22999,22990,22999,22499,22499,22390,22290,22299,22299,23199,23199,22499,22499,22499,22499,22499,22900,22900,22900,22190,22490,22490,22399,22490,22499,23199,22999,22999,22999,22999,22999,22499,22999,22999,22999,22949,22949,22949,22790,22790,22790,22790,22949,22949,22949,22949,22949,22949,22949
"Samsung Galaxy A51 (Haze Crush Silver, 6GB RAM, 128GB)",4.2 out of 5 stars,3003,https://images-na.ssl-images-amazon.com/images/I/81FHgLC%2Bt8L._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ7C7W/ref=sr_1_41?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-41,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,unavailable,unavailable,unavailable,unavailable,unavailable,20999,20999,20999,20999,20999,20999,unavailable,unavailable,20999,unavailable,20999,unavailable,unavailable,20999,20999,20999,unavailable,20999,21990,22449,22449,20999,20990,21990,21990,20999,20999,20890,20890,20999,20999,20999,20900,20999,20999,20840,20999,20999,20999,21900,20999,21900,20999,20999,20999,20990,20999,20990,20980,20975,20999,20970,20950,20950,20790,20950,21490,22499,22499,22499,22499,22499,21990,21990,21490
"Samsung Galaxy A21s (Blue, 6GB RAM, 64GB)",3.9 out of 5 stars,2327,https://images-na.ssl-images-amazon.com/images/I/811RH5e-snL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KGPM5G/ref=sr_1_42?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-42,16498,16498,16498,16498,16498,16498,16498,14999,14999,14999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,14999,14999,13999,13999,13999,13999,13999,14999,14999,unavailable,unavailable,14999,unavailable,unavailable,unavailable,12999,12999,12999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,15500,14999,14999,14999,14999,14999,14999,14999,14999,15449,15429,15429,15480,15488,15488,15488,15488,15468,15468,15450,15439,15478,15380,15380,15380,15370,15370,15360
"Samsung Galaxy A70s (White, 8GB RAM, 128GB)",4.1 out of 5 stars,913,https://images-na.ssl-images-amazon.com/images/I/71W%2BOhxA8IL._SX679_.jpg,https://www.amazon.in/Test-Dummy_March_2019_46-Black-with-Offer/dp/B07PRBKG12/ref=sr_1_43?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-43,22980,22900,22800,22800,22380,22320,22320,22200,22130,21920,21850,21850,21849,21849,21825,21825,21700,21700,21670,21640,21640,21670,21670,21870,21870,21999,22999,22999,22999,22999,22999,22999,21999,21999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,24999,24999,27699,27699,27699,27699,24999,27799,27799,27799,27799,25999,27799,unavailable,unavailable,25999,25999,25999,25999,25999,25999,25999,25999,24599,23999,23999,23999,23999,23999,24699,29999,26999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy A31 (Prism Crush White, 6GB RAM, 128GB)",4.1 out of 5 stars,1588,https://images-na.ssl-images-amazon.com/images/I/816-h37brML._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KDJGT6/ref=sr_1_44?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-44,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999
"Samsung Galaxy A50s (Prism Crush Black, 4GB RAM, 128GB)",4.1 out of 5 stars,5739,https://images-na.ssl-images-amazon.com/images/I/61hxwG2c7rL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07S6BW82H/ref=sr_1_45?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-45,22990,18990,22990,22990,19990,19490,19490,unavailable,18999,unavailable,22990,22990,22990,19990,19990,22590,22590,22590,17999,unavailable,22699,22699,22699,22699,22699,18990,19990,18900,18990,18990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,22999,22999,23490,23490,23490,23490,23490,unavailable,18999,unavailable,unavailable,17490,unavailable,18569,24800,24800,24800,24800,24800,24800,18990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,22990,22990,unavailable,unavailable,unavailable,22990
"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB)",4.4 out of 5 stars,50394,https://images-na.ssl-images-amazon.com/images/I/713AhSUtbHL._SY879_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A001861434VOTEG3D8QD4&url=%2FSamsung-Galaxy-Celestial-Black-Storage%2Fdp%2FB085J1CPCW%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346896%26sr%3D8-49-spons%26psc%3D1&qualifier=1612346896&id=1867832574919460&widgetName=sp_atf_next,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999
"Samsung Galaxy A70s (Red, 8GB RAM, 128GB)",4.1 out of 5 stars,913,https://images-na.ssl-images-amazon.com/images/I/71W%2BOhxA8IL._SX679_.jpg,https://www.amazon.in/Test-Dummy_March_2019_45-Black-with-Offer/dp/B07PP2K2PK/ref=sr_1_51?dchild=1&keywords=Samsung+Mobiles&qid=1612346896&sr=8-51,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,22999,22999,22999,21999,21999,22999,22999,22999,22999,20900,20900,20900,20900,20900,20900,22999,22999,24999,24999,27699,27699,27699,27699,24999,27799,27799,27799,27799,25999,27799,unavailable,unavailable,25999,25999,25999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,19990,19990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy A21s (Blue, 6GB, 128GB)",3.9 out of 5 stars,2327,https://images-na.ssl-images-amazon.com/images/I/811RH5e-snL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B084459YBD/ref=sr_1_53?dchild=1&keywords=Samsung+Mobiles&qid=1612346896&sr=8-53,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,16499,16499,16499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499
"Samsung Galaxy On7 Prime (Black, 3GB RAM, 32GB)",4.1 out of 5 stars,8707,https://images-na.ssl-images-amazon.com/images/I/61EM4uS-5iL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Prime-Black-Storage/dp/B0756ZD5PM/ref=sr_1_54?dchild=1&keywords=Samsung+Mobiles&qid=1612346896&sr=8-54,12990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,12990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,11490,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy A50s (Prism Crush White, 4GB RAM, 128GB)",4.1 out of 5 stars,5739,https://images-na.ssl-images-amazon.com/images/I/61hxwG2c7rL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07SDPTP6F/ref=sr_1_55?dchild=1&keywords=Samsung+Mobiles&qid=1612346896&sr=8-55,22990,18990,22990,22990,19990,19490,19490,unavailable,18999,unavailable,22990,22990,22990,19990,19990,22590,22590,22590,17999,unavailable,22699,22699,22699,22699,22699,18990,19990,18900,18990,18990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,22999,22999,23490,23490,23490,23490,23490,unavailable,18999,unavailable,unavailable,17490,unavailable,18569,24800,24800,24800,24800,24800,24800,18990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,22990,22990,unavailable,unavailable,unavailable,22990
"Samsung Galaxy M11 (Metallic Blue, 3GB RAM, 32GB)",,,https://images-na.ssl-images-amazon.com/images/I/51HNjnew1IL._SX679_.jpg,https://www.amazon.in/Samsung-Galaxy-Metallic-Blue-Storage/dp/B08B482983/ref=sr_1_57?dchild=1&keywords=Samsung+Mobiles&qid=1612346896&sr=8-57,12499,unavailable,unavailable,unavailable,11499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,11999,11999,10999,10999,10999,10999,10999,10999,10999,10999,10999,unavailable,unavailable,unavailable,11997,11997,11997,11997,11997,11997,11997,11997,unavailable,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10499,10499,10499,10499,10499,10499,10499,10499,10499,10499,10499,10499,10499,10499,10499,10499,10499,10499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy S21 Ultra 5G (Phantom Black, 12GB, 256GB)",4.2 out of 5 stars,397,https://images-na.ssl-images-amazon.com/images/I/917nPCOw9-L._SX679_.jpg,https://www.amazon.in/Samsung-Phantom-Storage-Additional-Exchange/dp/B08LRDTN6H/ref=sr_1_66?dchild=1&keywords=Samsung+Mobiles&qid=1612346899&sr=8-66,"1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00"
"Samsung Galaxy A70s (White, 6GB RAM, 128GB)",4.1 out of 5 stars,913,https://images-na.ssl-images-amazon.com/images/I/71W%2BOhxA8IL._SX679_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07S9G6237/ref=sr_1_84?dchild=1&keywords=Samsung+Mobiles&qid=1612346902&sr=8-84,19900,19900,19900,19900,19900,19900,19900,19900,19900,19900,19900,19900,21990,21849,21990,21825,21990,21990,21670,21640,21640,21670,21670,21870,21870,20900,22999,22999,22999,22999,22999,22999,21999,21999,22999,22999,22999,22999,20900,20900,20900,20900,20900,20900,22999,22999,24999,24999,27699,27699,27699,27699,24999,27799,27799,27799,27799,25999,27799,unavailable,unavailable,25999,25999,25999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,19990,19990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy Note10 Lite (Aura Glow, 8GB RAM, 128GB)",4.1 out of 5 stars,2431,https://images-na.ssl-images-amazon.com/images/I/71T0KJFxCHL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07X9YN2FJ/ref=sr_1_85?dchild=1&keywords=Samsung+Mobiles&qid=1612346902&sr=8-85,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,35990,35990,36999,36999,36999,36999,35990,35990,35990,35990,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999
